@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@DATA
Positive,-0.711293,0.312558,0.802674,0.130107,-0.188575,-0.957149,-0.856315,-0.768336,-0.63973,-0.637306,-0.0130013,-0.101106,-0.440624,-0.475044,0.883534,1.29254,-0.910103,-1.09751,-1.15806,-0.96145,-0.590742,-0.805593,-0.873882,0.0978069,0.53174,-0.535501,-0.89396,0.902073,1.42754,-0.994099,-1.12615,-1.41035,-0.976767,-1.56669,-0.111916,-1.7729,-0.481328,-1.132,-0.598784,1.42973,0.268176,1.15492,-0.736829,-0.782657,-0.718466,-0.646333,-0.429427,-0.0785305,-0.603979,-0.816154,-0.237382,-0.675178
Positive,-0.711293,-0.644483,-0.35633,0.845398,0.869247,0.243956,0.136815,0.515999,0.0118289,-0.221478,1.42399,-0.647915,-0.635979,1.78216,-0.327355,0.220761,1.32081,-0.173452,-0.166049,-0.274401,-0.501673,-0.099758,-0.367255,-0.336464,0.815577,0.211634,0.498323,0.274738,1.96244,0.0234064,-1.27478,-1.568,-0.862985,-1.50803,-0.469907,-0.587188,-0.307519,0.282889,0.590688,1.39988,0.882487,0.634942,-0.529131,-1.15456,-0.794618,-1.37234,-0.802087,-0.93722,-0.464012,-0.335155,0.860892,1.34368
Positive,0.156752,0.292574,1.17614,0.0997719,-0.618642,-0.971289,-0.801683,-0.739656,-0.310177,-0.731178,-1.23604,-0.749453,-0.245268,-0.475044,-0.318544,0.244188,0.213132,0.253349,-0.352635,0.186004,0.146103,-0.176875,0.230519,1.51564,-0.331135,-0.500467,0.605766,-1.34467,-1.03843,1.01417,1.61661,2.0903,0.944252,0.890765,0.849864,0.673433,0.675054,-1.11943,0.24872,-0.749261,1.09403,0.568674,-1.04713,-0.627249,-1.38316,-1.01329,-1.07035,-1.10276,-0.749916,0.513395,-0.670212,0.521249
Positive,0.931792,-0.901961,-0.786736,0.714711,0.792993,1.06769,0.720608,1.14959,0.718733,0.227321,0.737549,-1.9341,-1.05909,-0.475044,-0.199033,-0.00786808,0.169265,0.312945,0.154511,-0.0943528,-0.0790613,-0.0806454,0.334072,-0.972884,-1.50239,-1.00073,-0.89396,-0.464938,0.0717655,-0.117162,0.597582,0.888529,0.709023,0.214195,-0.25311,-0.638789,-0.313782,0.418749,-0.122036,-0.749261,-1.37732,0.337455,0.609761,1.43645,0.68378,0.806602,0.849846,-0.337955,0.194361,1.55064,-0.634182,-0.661618
Positive,-0.711293,-1.1524,-0.741422,0.990918,0.902461,0.996187,0.950876,1.36499,1.18816,0.639658,0.17934,0.0828217,0.523392,-0.475044,-0.90604,-0.392462,0.720363,1.12137,0.923893,0.374581,0.140809,-0.180209,-0.513091,-0.624352,0.496552,1.15676,0.189424,-1.44399,-0.818733,1.2294,1.4937,0.991531,1.50294,1.93716,1.86481,-0.195463,1.95044,-0.0943327,-0.960817,-0.749261,-1.79723,-0.63022,0.743628,1.71386,2.25471,1.88591,1.60108,1.34157,0.139635,0.487927,-1.26738,-0.902544
Positive,-0.711293,-1.47859,-1.97814,1.12435,1.95242,1.77601,1.49664,1.5393,1.65775,1.19086,1.5989,0.418871,-1.12093,-0.475044,-1.54905,-1.22074,1.5172,1.70221,1.67694,0.834157,0.929248,0.356945,0.241912,0.217702,0.87328,-1.43907,1.38473,-1.42543,-0.920936,0.936562,1.22208,1.20168,2.69381,2.14467,1.31487,2.07887,1.17769,-1.88639,-0.962125,1.51182,-0.583656,1.08191,1.59542,-0.158992,-0.655764,-0.752694,-0.866574,-1.11281,-0.617909,-1.13508,-1.60106,-0.323251
Positive,-0.711293,0.480672,1.55954,-0.249344,-0.814251,-1.0156,-1.05117,-1.1969,-1.08517,-0.844056,-1.04022,0.597664,1.08492,2.659,0.0714965,0.932411,0.287512,-0.439871,-0.562297,-0.463759,-0.77459,-0.786702,-0.835904,-1.82958,0.641519,0.866702,-0.89396,-0.766061,0.711319,1.20514,0.836607,-0.309576,-1.07144,-0.463297,-0.700168,-1.73906,-1.07479,-1.66748,0.920879,1.19094,0.28444,1.13819,-0.240653,-1.17927,-1.07364,-0.413065,-0.540649,-0.363406,0.0762851,-0.674343,-1.55406,0.109406
Positive,0.931792,-0.349028,0.57114,0.271252,0.173797,0.288745,-0.314804,-0.408664,-0.559061,-0.680751,-0.710588,1.32939,0.759978,-0.475044,-0.750384,-0.555852,0.35181,0.507356,1.02595,0.363127,1.13656,0.90899,0.732335,0.564143,0.562439,0.609237,-0.89396,-0.524817,1.2047,0.610843,0.238552,0.00586039,-0.702718,-1.00798,-1.97334,-1.43999,-0.788235,0.870869,1.23929,-0.749261,-1.71022,-0.0657608,1.94164,2.4308,1.13534,0.18847,-0.51804,-0.302025,-0.345605,-0.109415,0.463736,0.378082
Positive,1.0186,-0.570918,-0.346207,0.524911,0.600398,0.503762,0.630458,-0.203442,0.860114,-1.00038,0.337534,0.389828,-0.340492,-0.475044,0.481674,0.629453,0.346864,-0.571512,-0.716808,-0.8976,-1.17239,-0.750922,-0.45663,-0.161501,-0.444672,0.244225,1.58618,-0.237087,-1.06136,-0.164257,0.523713,1.3096,0.986114,0.570556,1.85031,0.483119,-0.95265,0.154772,-0.174814,-0.749261,-0.773375,0.309667,1.42477,0.622575,0.0951104,-0.123329,-0.452188,-0.357845,-0.270315,-1.15766,0.43908,-0.252613
Positive,-0.711293,-1.7276,-2.97167,0.191705,1.60526,2.8188,3.14783,3.45364,3.75632,3.65092,1.07554,0.989891,-0.463202,-0.475044,-1.97519,-2.68856,0.555623,2.29341,2.8013,2.57488,3.12971,2.7218,0.919693,2.10047,0.878488,-0.697639,-0.89396,-1.19651,0.659527,1.61058,0.947411,0.0176893,-0.135393,-0.778341,-0.173365,-0.46845,-0.917418,0.845334,-0.0557361,-0.749261,-0.241147,1.8718,1.04948,-0.660488,-1.26984,-1.57889,-1.47822,-1.10468,-1.5393,-0.970699,0.898508,-0.104084
