@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@DATA
Positive,-0.548882,1.04804,1.05231,-0.133554,-0.768486,-1.37105,-1.01451,-1.66275,-0.574848,-0.998451,-0.237431,0.646173,1.89528,-0.219702,0.112042,0.99016,1.25628,0.346374,-1.241,-0.933699,-1.13412,-0.693914,-0.498758,-0.455393,0.684363,1.35248,-0.241574,-0.717995,-0.63275,0.1484,0.447789,0.860954,0.919137,1.04,1.99469,0.219005,-0.104269,-1.14099,0.660584,-0.534372,-0.692863,0.142549,0.695034,0.641119,-0.141854,0.864329,0.284014,-0.204477,-0.277828,-0.166474,-0.405855,0.866574
Positive,-0.548882,0.1942,-0.144379,0.29666,-0.217117,0.194548,-0.201307,-0.528083,-0.735836,-0.256147,0.246288,0.931068,0.861052,-0.195293,1.25644,0.800144,-0.904549,-1.02745,-1.20808,-0.653115,-0.785686,-0.224765,-0.518305,-0.172948,0.670759,1.31166,-0.241574,1.64424,0.623618,-1.59511,-0.922372,-1.09281,-0.438151,-0.690664,-1.4269,-0.551527,-0.299534,0.691162,1.9624,1.22482,0.238788,0.551914,0.525546,-0.0855564,-1.22172,-0.409682,-0.302498,-0.215246,-0.206477,-0.208723,0.893675,1.91725
Positive,0.339197,-0.39177,-0.458814,0.320172,0.754689,0.401724,0.112717,-0.241813,-0.268287,0.496961,-0.112869,0.349571,-0.654314,-0.100328,0.341441,0.261768,-0.392714,-0.0888774,-0.586998,0.187027,0.0440957,-0.523143,-0.258298,0.0288345,0.226664,-0.52848,-0.241574,-0.080609,-1.81816,-1.75961,-1.21576,-0.637792,-0.500722,1.20882,-0.638474,5.2976,5.34971,0.943693,-0.858056,1.41863,0.336004,-1.95809,-1.89048,-1.28584,-1.29332,-0.857733,-0.0468385,1.22053,5.12744,-0.312771,0.733455,-0.714147
Positive,3.62123,2.85643,0.766596,-2.28539,-1.62583,-1.65418,-1.57853,-1.44683,-1.66139,-0.771307,0.142435,-0.0141486,-0.414442,-0.219702,0.899205,-0.901404,-2.54427,-1.88705,-0.460795,-0.484465,3.2819,3.47267,-0.303641,-0.380402,0.61759,-0.401907,-0.241574,2.40666,-0.678239,-2.0433,-1.4925,-1.01675,-0.0551435,-0.610076,0.163724,-0.350772,-0.0642792,1.00349,-0.24363,-0.534372,1.94182,-2.21849,-1.60015,-0.511216,-0.407747,0.648933,1.06297,0.324293,0.0459293,-0.237871,0.900425,-1.16484
Positive,-0.548882,-0.684807,-0.596214,-0.72024,0.278662,0.752963,0.567727,2.07095,2.84234,2.00397,0.242733,0.732787,-0.341438,-0.110626,0.640677,0.361859,-0.2426,-0.394481,0.186235,-0.693411,-0.686978,-0.538072,-0.397807,-0.319527,0.524087,0.130812,0.0160832,0.667134,0.695659,-0.274027,-0.739197,-0.505519,-1.04961,-0.913176,-0.168245,0.00773972,-0.282351,0.624576,-0.312876,-0.534372,0.680142,-0.550466,-0.665502,0.0727217,0.710591,0.10938,-0.0891632,-0.243912,-0.230882,-0.27362,0.539139,-1.04703
Positive,0.716737,0.8412,0.129835,-2.04703,-1.91331,-1.75224,1.33965,2.33043,-0.73657,4.19557,5.31714,-1.94674,-0.198557,-0.219702,0.661266,0.483268,0.015832,-0.922222,-0.0788783,-0.733171,-0.603062,-0.360746,-0.243749,-0.122156,0.00632677,-0.582809,5.53973,1.14502,0.418784,-1.77989,-0.713704,-0.482393,-0.900811,0.14281,-0.816393,0.407339,-0.337025,0.901902,0.0985774,1.50062,0.727194,-1.42931,-1.80248,-2.08064,1.94301,-1.10946,3.93402,-0.529797,1.85854,-0.299822,0.920742,0.0414606
Positive,-0.548882,0.200595,0.235428,-0.50115,-0.39997,0.134974,-0.306449,0.222702,0.776664,0.224757,-0.216877,0.40369,-1.23905,-0.219702,1.51014,0.166903,-0.571522,-1.2882,-1.28947,-0.748155,-0.340057,-0.330434,-0.181982,-0.306545,-0.397048,-0.847406,0.0676146,-1.16184,-1.01809,0.405277,0.874223,1.5509,1.81815,1.21517,1.37684,0.149061,-0.0387855,-2.60304,-1.60338,1.6348,-0.997969,-0.818494,-0.315952,0.179638,1.75306,2.46108,0.92933,0.601578,0.186311,-0.188766,-2.13018,-1.30397
Positive,2.65592,-0.0339173,-0.125239,0.290651,0.422243,0.0603253,0.28279,-0.0484942,-1.18234,-1.49859,-0.862247,0.914774,0.410162,-0.123593,0.291234,0.292264,0.0243664,-0.0719873,-0.804645,-0.0806625,0.0296647,-0.476864,-0.086923,-0.18845,0.203076,0.151369,-0.241574,1.10773,0.142111,-0.64631,-1.09632,-0.166712,0.190116,-0.590723,-1.18839,-0.552196,-0.315655,0.694363,-0.339681,-0.534372,1.62931,0.711387,-0.571006,-0.813326,-0.776964,-1.44804,-1.0195,-0.876733,-0.372936,-0.303885,0.752473,-0.269678
Positive,-0.548882,-0.377511,0.328569,1.08584,-0.16223,0.1564,-0.175186,-0.180683,-1.30516,-0.538365,-0.481454,-0.176842,-0.0153505,-0.219702,-0.799007,-0.381606,0.344431,0.555255,1.20513,0.327737,0.232203,0.266127,0.189776,0.318968,-2.04411,-0.431568,-0.241574,0.49731,0.615902,-0.957063,-0.771086,-0.174999,0.2705,0.350136,-0.269599,-0.0483494,-0.267667,0.0537497,-0.629917,-0.534372,1.29319,-1.14217,-1.74464,-1.96557,-1.09569,-1.62245,-1.3662,3.40519,-0.465042,3.81475,0.716296,0.453034
Positive,-0.548882,1.01017,0.837669,-0.802839,-1.23788,-0.731344,-0.544831,-0.827631,-0.126628,-0.0774881,0.326032,-1.17086,-0.284424,-0.219702,-0.13538,-0.777158,-0.821188,0.138476,0.315097,0.788732,1.0267,0.659724,0.191739,0.276746,-2.42115,-1.41889,-0.0693676,-0.0688039,0.918689,0.194586,0.113113,-0.047416,-1.00385,-0.850353,-0.460922,-0.283217,-0.333401,-1.12861,-0.763941,-0.534372,-0.839554,0.197183,-0.237523,0.839092,0.878703,0.641525,0.61955,0.150516,-0.065677,-0.153118,-1.08242,-1.0408
